id,fen,engine,bestmove,eval,wins,draws,losses,depth,seldepth,nodes,time,hashfull
156,nbrnqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNQKBR w KQkq - 0 1,Stockfish 17.1,d4,0.4,106,887,7,12,18,100628,0.017,2
157,nrnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBQKBR w KQkq - 0 1,Stockfish 17.1,f4,0.3,77,913,10,10,22,100526,0.017,1
158,nrnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNQKBBR w KQkq - 0 1,Stockfish 17.1,e4,0.38,98,895,7,13,15,100841,0.019,2
159,nrnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNQKRBB w KQkq - 0 1,Stockfish 17.1,g4,0.26,67,922,11,11,17,100118,0.018,2
160,bbnrnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKQR w KQkq - 0 1,Stockfish 17.1,b3,0.46,128,866,6,11,16,100240,0.019,1
161,bnrbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKQR w KQkq - 0 1,Stockfish 17.1,c4,0.24,63,925,12,11,16,100636,0.018,2
162,bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w KQkq - 0 1,Stockfish 17.1,Ndc3,0.16,48,936,16,11,16,100900,0.019,0
163,bnrnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKQRB w KQkq - 0 1,Stockfish 17.1,b4,0.13,44,938,18,10,16,100582,0.021,2
164,nbbrnkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKQR w KQkq - 0 1,Stockfish 17.1,c3,0.23,60,927,13,11,13,101158,0.018,2
165,nrbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKQR w KQkq - 0 1,Stockfish 17.1,f4,0.75,290,708,2,12,21,100065,0.019,3
166,nrbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBQR w KQkq - 0 1,Stockfish 17.1,f4,0.26,68,921,11,10,17,100066,0.019,2
167,nrbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKQRB w KQkq - 0 1,Stockfish 17.1,f4,0.36,93,899,8,12,15,100495,0.019,2
168,nbrnbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKQR w KQkq - 0 1,Stockfish 17.1,c4,0.33,84,907,9,11,17,100373,0.019,0
169,nrnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKQR w KQkq - 0 1,Stockfish 17.1,c4,0.44,122,872,6,12,20,100410,0.019,4
170,nrnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBQR w KQkq - 0 1,Stockfish 17.1,e4,0.6,194,803,3,10,17,100482,0.018,3
171,nrnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBQRB w KQkq - 0 1,Stockfish 17.1,Nab3,0.26,67,922,11,10,17,100233,0.019,2
172,nbrnkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNKQBR w KQkq - 0 1,Stockfish 17.1,f4,0.21,57,930,13,11,21,100261,0.019,1
173,nrnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBKQBR w KQkq - 0 1,Stockfish 17.1,f4,0.4,107,886,7,12,17,100416,0.02,2
174,nrnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNKQBBR w KQkq - 0 1,Stockfish 17.1,e4,0.53,160,836,4,12,17,100310,0.018,2
175,nrnkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKQRBB w KQkq - 0 1,Stockfish 17.1,f4,0.61,202,795,3,12,22,100386,0.016,2
176,bbnrnkrq/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKRQ w KQkq - 0 1,Stockfish 17.1,g4,0.67,239,758,3,11,20,100217,0.02,0
177,bnrbnkrq/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKRQ w KQkq - 0 1,Stockfish 17.1,g4,0.58,183,813,4,10,18,100071,0.019,1
178,bnrnkbrq/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBRQ w KQkq - 0 1,Stockfish 17.1,g4,0.4,105,888,7,10,21,100673,0.021,2
179,bnrnkrqb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKRQB w KQkq - 0 1,Stockfish 17.1,g4,0.38,100,893,7,11,15,100668,0.019,2
180,nbbrnkrq/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKRQ w KQkq - 0 1,Stockfish 17.1,d4,0.13,43,939,18,12,20,100813,0.016,4
181,nrbbnkrq/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKRQ w KQkq - 0 1,Stockfish 17.1,h4,0.25,65,923,12,11,20,100687,0.016,2
182,nrbnkbrq/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBRQ w KQkq - 0 1,Stockfish 17.1,b4,0.31,80,911,9,9,15,100524,0.019,2
183,nrbnkrqb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKRQB w KQkq - 0 1,Stockfish 17.1,f4,0.64,220,777,3,11,18,100022,0.017,1
184,nbrnbkrq/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKRQ w KQkq - 0 1,Stockfish 17.1,d4,0.47,132,863,5,10,19,100311,0.018,1
185,nrnbbkrq/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKRQ w KQkq - 0 1,Stockfish 17.1,g4,0.6,194,803,3,12,14,100705,0.019,1
186,nrnkbbrq/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBRQ w KQkq - 0 1,Stockfish 17.1,g4,0.45,126,868,6,10,16,100507,0.02,3
187,nrnkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBRQB w KQkq - 0 1,Stockfish 17.1,f4,0.45,124,870,6,10,20,101076,0.019,2
188,nbrnkrbq/pppppppp/8/8/8/8/PPPPPPPP/NBRNKRBQ w KQkq - 0 1,Stockfish 17.1,f4,0.22,58,929,13,10,20,101481,0.017,2
189,nrnbkrbq/pppppppp/8/8/8/8/PPPPPPPP/NRNBKRBQ w KQkq - 0 1,Stockfish 17.1,g4,0.39,102,891,7,12,19,101280,0.018,2
190,nrnkrbbq/pppppppp/8/8/8/8/PPPPPPPP/NRNKRBBQ w KQkq - 0 1,Stockfish 17.1,f4,0.26,66,923,11,11,16,100416,0.018,4
191,nrnkrqbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKRQBB w KQkq - 0 1,Stockfish 17.1,e4,0.44,120,874,6,11,26,100126,0.018,2
192,bbqnrknr/pppppppp/8/8/8/8/PPPPPPPP/BBQNRKNR w KQkq - 0 1,Stockfish 17.1,b4,0.24,64,924,12,11,20,100593,0.017,1
193,bqnbrknr/pppppppp/8/8/8/8/PPPPPPPP/BQNBRKNR w KQkq - 0 1,Stockfish 17.1,c4,0.7,258,740,2,11,18,100063,0.016,2
194,bqnrkbnr/pppppppp/8/8/8/8/PPPPPPPP/BQNRKBNR w KQkq - 0 1,Stockfish 17.1,b4,0.17,50,935,15,13,18,101410,0.018,0
195,bqnrknrb/pppppppp/8/8/8/8/PPPPPPPP/BQNRKNRB w KQkq - 0 1,Stockfish 17.1,c4,0.12,42,940,18,10,21,101092,0.019,2
196,qbbnrknr/pppppppp/8/8/8/8/PPPPPPPP/QBBNRKNR w KQkq - 0 1,Stockfish 17.1,d4,0.39,101,892,7,12,19,100269,0.018,3
197,qnbbrknr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKNR w KQkq - 0 1,Stockfish 17.1,d4,0.29,73,917,10,10,18,100992,0.017,3
198,qnbrkbnr/pppppppp/8/8/8/8/PPPPPPPP/QNBRKBNR w KQkq - 0 1,Stockfish 17.1,c4,0.22,60,927,13,11,18,100180,0.018,2
199,qnbrknrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRKNRB w KQkq - 0 1,Stockfish 17.1,c4,0.29,74,916,10,10,25,100268,0.018,2
200,qbnrbknr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBKNR w KQkq - 0 1,Stockfish 17.1,c4,0.69,251,747,2,13,20,100193,0.017,1
201,qnrbbknr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBKNR w KQkq - 0 1,Stockfish 17.1,c4,0.15,46,937,17,13,21,101049,0.016,4
202,qnrkbbnr/pppppppp/8/8/8/8/PPPPPPPP/QNRKBBNR w KQkq - 0 1,Stockfish 17.1,e4,0.26,68,921,11,13,19,100552,0.019,3
203,qnrkbnrb/pppppppp/8/8/8/8/PPPPPPPP/QNRKBNRB w KQkq - 0 1,Stockfish 17.1,g4,0.29,74,916,10,11,18,101135,0.021,3
204,qbnrknbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRKNBR w KQkq - 0 1,Stockfish 17.1,h4,0.14,45,938,17,11,13,100072,0.017,2
205,qnrbknbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBKNBR w KQkq - 0 1,Stockfish 17.1,Ne3,0.32,83,908,9,11,14,101045,0.02,3
206,qnrknbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRKNBBR w KQkq - 0 1,Stockfish 17.1,d4,0.5,143,852,5,11,18,100692,0.018,2
207,qnrknrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRKNRBB w KQkq - 0 1,Stockfish 17.1,b4,0.61,200,797,3,11,16,101129,0.018,2
208,bbnqrknr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRKNR w KQkq - 0 1,Stockfish 17.1,d4,0.39,101,892,7,10,20,100808,0.017,1
209,bnqbrknr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRKNR w KQkq - 0 1,Stockfish 17.1,e4,0.3,78,912,10,10,16,100781,0.02,2
210,bnqrkbnr/pppppppp/8/8/8/8/PPPPPPPP/BNQRKBNR w KQkq - 0 1,Stockfish 17.1,d4,0.1,40,941,19,13,17,100154,0.018,2
211,bnqrknrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRKNRB w KQkq - 0 1,Stockfish 17.1,g3,0.31,80,911,9,9,23,101338,0.02,2
212,nbbqrknr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRKNR w KQkq - 0 1,Stockfish 17.1,e4,0.39,104,889,7,12,16,100702,0.018,4
213,nqbbrknr/pppppppp/8/8/8/8/PPPPPPPP/NQBBRKNR w KQkq - 0 1,Stockfish 17.1,e4,0.52,154,842,4,12,19,100194,0.017,2
214,nqbrkbnr/pppppppp/8/8/8/8/PPPPPPPP/NQBRKBNR w KQkq - 0 1,Stockfish 17.1,e4,0.45,126,868,6,12,25,101126,0.017,2
215,nqbrknrb/pppppppp/8/8/8/8/PPPPPPPP/NQBRKNRB w KQkq - 0 1,Stockfish 17.1,c3,0.13,44,939,17,12,17,101007,0.018,2
216,nbqrbknr/pppppppp/8/8/8/8/PPPPPPPP/NBQRBKNR w KQkq - 0 1,Stockfish 17.1,c4,0.4,106,887,7,10,17,101129,0.02,1
217,nqrbbknr/pppppppp/8/8/8/8/PPPPPPPP/NQRBBKNR w KQkq - 0 1,Stockfish 17.1,b4,0.32,83,908,9,11,18,100226,0.017,1
218,nqrkbbnr/pppppppp/8/8/8/8/PPPPPPPP/NQRKBBNR w KQkq - 0 1,Stockfish 17.1,c4,0.33,85,906,9,10,20,100782,0.018,3
219,nqrkbnrb/pppppppp/8/8/8/8/PPPPPPPP/NQRKBNRB w KQkq - 0 1,Stockfish 17.1,g4,0.32,83,908,9,11,13,100129,0.02,2
220,nbqrknbr/pppppppp/8/8/8/8/PPPPPPPP/NBQRKNBR w KQkq - 0 1,Stockfish 17.1,c4,0.18,52,933,15,12,18,100637,0.016,2
221,nqrbknbr/pppppppp/8/8/8/8/PPPPPPPP/NQRBKNBR w KQkq - 0 1,Stockfish 17.1,c4,0.32,83,908,9,12,15,100255,0.017,2
222,nqrknbbr/pppppppp/8/8/8/8/PPPPPPPP/NQRKNBBR w KQkq - 0 1,Stockfish 17.1,c4,0.21,57,930,13,11,16,100218,0.016,3
223,nqrknrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRKNRBB w KQkq - 0 1,Stockfish 17.1,f4,0.03,31,944,25,11,19,100193,0.016,2
224,bbnrqknr/pppppppp/8/8/8/8/PPPPPPPP/BBNRQKNR w KQkq - 0 1,Stockfish 17.1,c4,0.51,149,846,5,12,18,101123,0.02,1
225,bnrbqknr/pppppppp/8/8/8/8/PPPPPPPP/BNRBQKNR w KQkq - 0 1,Stockfish 17.1,c4,0.25,65,923,12,11,19,100347,0.019,3
226,bnrqkbnr/pppppppp/8/8/8/8/PPPPPPPP/BNRQKBNR w KQkq - 0 1,Stockfish 17.1,b4,0.1,40,941,19,12,24,100100,0.016,0
227,bnrqknrb/pppppppp/8/8/8/8/PPPPPPPP/BNRQKNRB w KQkq - 0 1,Stockfish 17.1,d4,0.34,88,904,8,10,14,100286,0.019,3
228,nbbrqknr/pppppppp/8/8/8/8/PPPPPPPP/NBBRQKNR w KQkq - 0 1,Stockfish 17.1,e4,0.31,79,912,9,9,19,101064,0.018,4
229,nrbbqknr/pppppppp/8/8/8/8/PPPPPPPP/NRBBQKNR w KQkq - 0 1,Stockfish 17.1,e4,0.43,117,877,6,12,15,100027,0.018,4
230,nrbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/NRBQKBNR w KQkq - 0 1,Stockfish 17.1,e4,0.39,101,892,7,11,20,100046,0.018,3
231,nrbqknrb/pppppppp/8/8/8/8/PPPPPPPP/NRBQKNRB w KQkq - 0 1,Stockfish 17.1,g3,0.41,109,884,7,9,20,100153,0.018,3
232,nbrqbknr/pppppppp/8/8/8/8/PPPPPPPP/NBRQBKNR w KQkq - 0 1,Stockfish 17.1,d4,0.46,128,866,6,12,20,100342,0.018,1
233,nrqbbknr/pppppppp/8/8/8/8/PPPPPPPP/NRQBBKNR w KQkq - 0 1,Stockfish 17.1,c4,0.19,54,932,14,12,21,100980,0.016,4
234,nrqkbbnr/pppppppp/8/8/8/8/PPPPPPPP/NRQKBBNR w KQkq - 0 1,Stockfish 17.1,e4,0.54,161,835,4,10,13,100042,0.018,4
235,nrqkbnrb/pppppppp/8/8/8/8/PPPPPPPP/NRQKBNRB w KQkq - 0 1,Stockfish 17.1,c4,0.28,72,918,10,11,17,100982,0.019,4
236,nbrqknbr/pppppppp/8/8/8/8/PPPPPPPP/NBRQKNBR w KQkq - 0 1,Stockfish 17.1,d4,0.23,61,927,12,12,14,100550,0.019,2
237,nrqbknbr/pppppppp/8/8/8/8/PPPPPPPP/NRQBKNBR w KQkq - 0 1,Stockfish 17.1,c4,0.47,130,865,5,11,15,101160,0.019,4
238,nrqknbbr/pppppppp/8/8/8/8/PPPPPPPP/NRQKNBBR w KQkq - 0 1,Stockfish 17.1,f3,0.49,141,854,5,11,16,101119,0.017,2
239,nrqknrbb/pppppppp/8/8/8/8/PPPPPPPP/NRQKNRBB w KQkq - 0 1,Stockfish 17.1,f4,0.28,72,918,10,11,23,100977,0.017,2
240,bbnrkqnr/pppppppp/8/8/8/8/PPPPPPPP/BBNRKQNR w KQkq - 0 1,Stockfish 17.1,b4,0.32,82,909,9,12,17,101209,0.02,2
241,bnrbkqnr/pppppppp/8/8/8/8/PPPPPPPP/BNRBKQNR w KQkq - 0 1,Stockfish 17.1,e3,0.37,96,896,8,12,19,100808,0.017,2
242,bnrkqbnr/pppppppp/8/8/8/8/PPPPPPPP/BNRKQBNR w KQkq - 0 1,Stockfish 17.1,e4,0.12,42,940,18,11,21,101051,0.017,2
243,bnrkqnrb/pppppppp/8/8/8/8/PPPPPPPP/BNRKQNRB w KQkq - 0 1,Stockfish 17.1,O-O-O,0.26,67,922,11,12,22,100715,0.019,2
244,nbbrkqnr/pppppppp/8/8/8/8/PPPPPPPP/NBBRKQNR w KQkq - 0 1,Stockfish 17.1,e4,0.4,107,886,7,10,18,100581,0.017,5
245,nrbbkqnr/pppppppp/8/8/8/8/PPPPPPPP/NRBBKQNR w KQkq - 0 1,Stockfish 17.1,f4,0.51,150,845,5,11,15,100712,0.019,2
246,nrbkqbnr/pppppppp/8/8/8/8/PPPPPPPP/NRBKQBNR w KQkq - 0 1,Stockfish 17.1,e4,0.58,184,812,4,11,20,100762,0.021,2
247,nrbkqnrb/pppppppp/8/8/8/8/PPPPPPPP/NRBKQNRB w KQkq - 0 1,Stockfish 17.1,d3,0.39,102,891,7,12,18,101276,0.018,2
248,nbrkbqnr/pppppppp/8/8/8/8/PPPPPPPP/NBRKBQNR w KQkq - 0 1,Stockfish 17.1,e4,0.48,134,861,5,11,15,100686,0.017,2
249,nrkbbqnr/pppppppp/8/8/8/8/PPPPPPPP/NRKBBQNR w KQkq - 0 1,Stockfish 17.1,e4,1.17,649,351,0,11,20,100540,0.016,2
250,nrkqbbnr/pppppppp/8/8/8/8/PPPPPPPP/NRKQBBNR w KQkq - 0 1,Stockfish 17.1,c4,0.61,197,800,3,11,18,100817,0.019,3
251,nrkqbnrb/pppppppp/8/8/8/8/PPPPPPPP/NRKQBNRB w KQkq - 0 1,Stockfish 17.1,d4,0.23,61,927,12,11,16,100098,0.017,2
252,nbrkqnbr/pppppppp/8/8/8/8/PPPPPPPP/NBRKQNBR w KQkq - 0 1,Stockfish 17.1,c4,0.29,74,916,10,9,17,100140,0.018,3
253,nrkbqnbr/pppppppp/8/8/8/8/PPPPPPPP/NRKBQNBR w KQkq - 0 1,Stockfish 17.1,e4,0.31,78,912,10,9,15,100724,0.018,2
254,nrkqnbbr/pppppppp/8/8/8/8/PPPPPPPP/NRKQNBBR w KQkq - 0 1,Stockfish 17.1,f4,0.49,139,856,5,12,20,100511,0.019,4
255,nrkqnrbb/pppppppp/8/8/8/8/PPPPPPPP/NRKQNRBB w KQkq - 0 1,Stockfish 17.1,f4,0.17,50,935,15,11,23,100052,0.015,3
256,bbnrknqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRKNQR w KQkq - 0 1,Stockfish 17.1,c4,0.23,61,927,12,12,13,100321,0.016,2
257,bnrbknqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBKNQR w KQkq - 0 1,Stockfish 17.1,b4,0.29,73,917,10,10,17,100223,0.019,3
258,bnrknbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRKNBQR w KQkq - 0 1,Stockfish 17.1,f3,0.4,107,886,7,12,16,100660,0.016,1
259,bnrknqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRKNQRB w KQkq - 0 1,Stockfish 17.1,g4,0.14,45,938,17,10,16,100426,0.023,3
260,nbbrknqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRKNQR w KQkq - 0 1,Stockfish 17.1,c3,0.08,36,943,21,11,17,100976,0.017,4
261,nrbbknqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBKNQR w KQkq - 0 1,Stockfish 17.1,f4,0.5,146,849,5,10,21,100134,0.019,5
262,nrbknbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBKNBQR w KQkq - 0 1,Stockfish 17.1,f3,1.01,511,488,1,11,20,100883,0.019,4
263,nrbknqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBKNQRB w KQkq - 0 1,Stockfish 17.1,g4,0.34,88,904,8,11,15,100518,0.018,3
264,nbrkbnqr/pppppppp/8/8/8/8/PPPPPPPP/NBRKBNQR w KQkq - 0 1,Stockfish 17.1,c4,0.43,117,877,6,11,17,100464,0.02,2
265,nrkbbnqr/pppppppp/8/8/8/8/PPPPPPPP/NRKBBNQR w KQkq - 0 1,Stockfish 17.1,f4,0.28,72,918,10,11,16,100811,0.018,5
266,nrknbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRKNBBQR w KQkq - 0 1,Stockfish 17.1,Nc3,0.61,202,795,3,11,24,100818,0.017,4
267,nrknbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRKNBQRB w KQkq - 0 1,Stockfish 17.1,g4,0.35,91,901,8,12,17,100415,0.018,5
268,nbrknqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRKNQBR w KQkq - 0 1,Stockfish 17.1,c4,0.39,103,890,7,11,17,100124,0.018,3
269,nrkbnqbr/pppppppp/8/8/8/8/PPPPPPPP/NRKBNQBR w KQkq - 0 1,Stockfish 17.1,f4,0.54,165,831,4,12,18,100222,0.017,4
270,nrknqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRKNQBBR w KQkq - 0 1,Stockfish 17.1,f3,0.29,73,917,10,8,22,100096,0.017,2
271,nrknqrbb/pppppppp/8/8/8/8/PPPPPPPP/NRKNQRBB w KQkq - 0 1,Stockfish 17.1,f4,0.21,58,929,13,10,15,101726,0.018,2
272,bbnrknrq/pppppppp/8/8/8/8/PPPPPPPP/BBNRKNRQ w KQkq - 0 1,Stockfish 17.1,c4,0.52,151,844,5,10,17,100131,0.021,2
273,bnrbknrq/pppppppp/8/8/8/8/PPPPPPPP/BNRBKNRQ w KQkq - 0 1,Stockfish 17.1,b4,0.86,375,624,1,10,19,100206,0.019,3
274,bnrknbrq/pppppppp/8/8/8/8/PPPPPPPP/BNRKNBRQ w KQkq - 0 1,Stockfish 17.1,g4,0.51,149,846,5,13,20,101463,0.019,3
275,bnrknrqb/pppppppp/8/8/8/8/PPPPPPPP/BNRKNRQB w KQkq - 0 1,Stockfish 17.1,g3,0.24,63,925,12,11,15,100038,0.018,2
276,nbbrknrq/pppppppp/8/8/8/8/PPPPPPPP/NBBRKNRQ w KQkq - 0 1,Stockfish 17.1,c4,0.17,49,935,16,11,22,100639,0.017,4
277,nrbbknrq/pppppppp/8/8/8/8/PPPPPPPP/NRBBKNRQ w KQkq - 0 1,Stockfish 17.1,d4,0.28,72,918,10,10,17,100170,0.019,3
278,nrbknbrq/pppppppp/8/8/8/8/PPPPPPPP/NRBKNBRQ w KQkq - 0 1,Stockfish 17.1,Nb3,0.5,147,848,5,12,18,100810,0.02,3
279,nrbknrqb/pppppppp/8/8/8/8/PPPPPPPP/NRBKNRQB w KQkq - 0 1,Stockfish 17.1,f4,0.53,156,840,4,11,22,101159,0.017,3
280,nbrkbnrq/pppppppp/8/8/8/8/PPPPPPPP/NBRKBNRQ w KQkq - 0 1,Stockfish 17.1,Nb3,0.43,118,876,6,11,16,100148,0.018,2
281,nrkbbnrq/pppppppp/8/8/8/8/PPPPPPPP/NRKBBNRQ w KQkq - 0 1,Stockfish 17.1,f4,0.36,93,899,8,10,17,101197,0.019,2
282,nrknbbrq/pppppppp/8/8/8/8/PPPPPPPP/NRKNBBRQ w KQkq - 0 1,Stockfish 17.1,Nc3,0.3,77,913,10,11,17,100062,0.019,4
283,nrknbrqb/pppppppp/8/8/8/8/PPPPPPPP/NRKNBRQB w KQkq - 0 1,Stockfish 17.1,f4,0.49,139,856,5,11,18,100136,0.019,2
284,nbrknrbq/pppppppp/8/8/8/8/PPPPPPPP/NBRKNRBQ w KQkq - 0 1,Stockfish 17.1,Nb3,0.3,76,914,10,9,15,100113,0.016,3
285,nrkbnrbq/pppppppp/8/8/8/8/PPPPPPPP/NRKBNRBQ w KQkq - 0 1,Stockfish 17.1,f4,0.3,76,914,10,10,14,100186,0.018,3
286,nrknrbbq/pppppppp/8/8/8/8/PPPPPPPP/NRKNRBBQ w KQkq - 0 1,Stockfish 17.1,Nc3,0.37,97,895,8,12,19,100305,0.016,4
287,nrknrqbb/pppppppp/8/8/8/8/PPPPPPPP/NRKNRQBB w KQkq - 0 1,Stockfish 17.1,f4,0.84,362,637,1,13,18,101080,0.017,4
288,bbqnrkrn/pppppppp/8/8/8/8/PPPPPPPP/BBQNRKRN w KQkq - 0 1,Stockfish 17.1,b4,0.31,78,912,10,11,18,101056,0.017,2
289,bqnbrkrn/pppppppp/8/8/8/8/PPPPPPPP/BQNBRKRN w KQkq - 0 1,Stockfish 17.1,c4,0.7,254,744,2,11,18,101106,0.017,3
290,bqnrkbrn/pppppppp/8/8/8/8/PPPPPPPP/BQNRKBRN w KQkq - 0 1,Stockfish 17.1,c4,0.58,181,815,4,11,22,100258,0.018,1
291,bqnrkrnb/pppppppp/8/8/8/8/PPPPPPPP/BQNRKRNB w KQkq - 0 1,Stockfish 17.1,c4,0.12,43,939,18,10,2,101203,0.018,3
292,qbbnrkrn/pppppppp/8/8/8/8/PPPPPPPP/QBBNRKRN w KQkq - 0 1,Stockfish 17.1,O-O,0.29,73,917,10,11,15,100632,0.019,5
293,qnbbrkrn/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKRN w KQkq - 0 1,Stockfish 17.1,O-O,0.25,65,923,12,11,16,100270,0.019,5
294,qnbrkbrn/pppppppp/8/8/8/8/PPPPPPPP/QNBRKBRN w KQkq - 0 1,Stockfish 17.1,d4,0.3,77,913,10,11,16,100787,0.019,4
295,qnbrkrnb/pppppppp/8/8/8/8/PPPPPPPP/QNBRKRNB w KQkq - 0 1,Stockfish 17.1,Nf3,0.27,69,920,11,10,19,100415,0.019,3
296,qbnrbkrn/pppppppp/8/8/8/8/PPPPPPPP/QBNRBKRN w KQkq - 0 1,Stockfish 17.1,c4,0.25,65,923,12,11,19,101490,0.02,2
297,qnrbbkrn/pppppppp/8/8/8/8/PPPPPPPP/QNRBBKRN w KQkq - 0 1,Stockfish 17.1,d4,0.51,149,846,5,12,15,100271,0.018,5
298,qnrkbbrn/pppppppp/8/8/8/8/PPPPPPPP/QNRKBBRN w KQkq - 0 1,Stockfish 17.1,c4,0.58,183,813,4,12,16,100777,0.022,5
299,qnrkbrnb/pppppppp/8/8/8/8/PPPPPPPP/QNRKBRNB w KQkq - 0 1,Stockfish 17.1,g4,0.25,65,923,12,10,17,100063,0.02,5
300,qbnrkrbn/pppppppp/8/8/8/8/PPPPPPPP/QBNRKRBN w KQkq - 0 1,Stockfish 17.1,b3,0.25,64,924,12,9,18,100419,0.018,3
301,qnrbkrbn/pppppppp/8/8/8/8/PPPPPPPP/QNRBKRBN w KQkq - 0 1,Stockfish 17.1,Ng3,0.25,65,923,12,11,21,100638,0.018,5
302,qnrkrbbn/pppppppp/8/8/8/8/PPPPPPPP/QNRKRBBN w KQkq - 0 1,Stockfish 17.1,c4,0.16,48,936,16,10,19,100870,0.018,3
303,qnrkrnbb/pppppppp/8/8/8/8/PPPPPPPP/QNRKRNBB w KQkq - 0 1,Stockfish 17.1,g4,0.5,143,852,5,10,16,101264,0.02,3
304,bbnqrkrn/pppppppp/8/8/8/8/PPPPPPPP/BBNQRKRN w KQkq - 0 1,Stockfish 17.1,c4,0.3,78,912,10,12,22,100271,0.017,2
305,bnqbrkrn/pppppppp/8/8/8/8/PPPPPPPP/BNQBRKRN w KQkq - 0 1,Stockfish 17.1,b4,0.36,92,900,8,10,19,106199,0.02,4
306,bnqrkbrn/pppppppp/8/8/8/8/PPPPPPPP/BNQRKBRN w KQkq - 0 1,Stockfish 17.1,e3,0.57,180,816,4,12,18,101276,0.027,3
307,bnqrkrnb/pppppppp/8/8/8/8/PPPPPPPP/BNQRKRNB w KQkq - 0 1,Stockfish 17.1,b4,0.32,81,910,9,11,17,100283,0.036,3
308,nbbqrkrn/pppppppp/8/8/8/8/PPPPPPPP/NBBQRKRN w KQkq - 0 1,Stockfish 17.1,O-O,0.39,101,892,7,11,18,101910,0.023,5
309,nqbbrkrn/pppppppp/8/8/8/8/PPPPPPPP/NQBBRKRN w KQkq - 0 1,Stockfish 17.1,c3,0.29,74,916,10,10,19,100610,0.019,3
310,nqbrkbrn/pppppppp/8/8/8/8/PPPPPPPP/NQBRKBRN w KQkq - 0 1,Stockfish 17.1,Ng3,1.01,511,488,1,12,17,100239,0.02,3
311,nqbrkrnb/pppppppp/8/8/8/8/PPPPPPPP/NQBRKRNB w KQkq - 0 1,Stockfish 17.1,Nf3,0.18,52,933,15,12,20,100244,0.019,3
